Participant,Round,Condition,CompletionTime_s,CompletionTime_from_timestamps_s,Matches,Mismatches,Rechecks,CardFlips,AvgThinkingTime_s,MedianThinkingTime_s,MaxThinkingTime_s,DistractorOnEvents,DistractorOffEvents,MentalDemand,PhysicalDemand,TemporalDemand,PerformanceSatisfaction,Effort,Frustration,ConditionNumber,Visual,Audio,Workload_mean_without_Q4,NASA_TLX_simple_mean_all_Qs
P04,5,C5_VisualPredictable_AudioPredictable,53.77,53.774,8,18,36,52,2.4857692307692307,1.0950000000000002,78.57,2,2,85,20,11,50,85,55,5,Predictable,Predictable,51.2,51.0
P04,6,C6_VisualUnpredictable_AudioPredictable,48.46,48.457,8,15,30,46,2.7047826086956523,1.045,78.97,2,2,75,40,10,55,75,71,6,Unpredictable,Predictable,54.2,54.333333333333336
P04,7,C7_VisualOff_AudioUnpredictable,50.81,50.807,8,17,34,50,2.3326,1.0750000000000002,68.66,1,4,90,60,11,66,95,66,7,Off,Unpredictable,64.4,64.66666666666667
P04,8,C8_VisualPredictable_AudioUnpredictable,38.38,38.377,8,11,22,38,2.485789473684211,1.0950000000000002,58.81,2,3,90,70,10,40,95,75,8,Predictable,Unpredictable,68.0,63.333333333333336
P04,9,C9_VisualUnpredictable_AudioUnpredictable,42.35,42.354,8,14,28,44,2.471363636363636,1.0350000000000001,69.32,2,7,90,85,10,35,96,75,9,Unpredictable,Unpredictable,71.2,65.16666666666667
P05,1,C1_VisualOff_AudioOff,50.57,50.567,8,11,22,38,1.236756756756757,1.23,2.63,0,3,21,0,7,85,6,73,1,Off,Off,21.4,32.0
P05,2,C2_VisualPredictable_AudioOff,34.29,34.287,8,7,14,30,3.352666666666667,1.085,69.88,1,2,19,0,0,95,18,91,2,Predictable,Off,25.6,37.166666666666664
P05,3,C3_VisualUnpredictable_AudioOff,51.24,51.245,8,14,28,44,2.441363636363636,1.1749999999999998,60.33,1,2,32,31,20,30,35,62,3,Unpredictable,Off,36.0,35.0
P05,4,C4_VisualOff_AudioPredictable,58.1,58.096,8,17,34,50,2.1688,1.22,52.44,1,3,68,22,77,61,47,45,4,Off,Predictable,51.8,53.333333333333336
P05,5,C5_VisualPredictable_AudioPredictable,44.71,44.714,8,13,26,42,2.0380952380952384,1.085,42.85,2,2,36,19,34,71,32,77,5,Predictable,Predictable,39.6,44.833333333333336
P05,6,C6_VisualUnpredictable_AudioPredictable,69.43,69.434,8,21,42,58,1.8,1.225,36.61,2,2,84,39,93,30,92,35,6,Unpredictable,Predictable,68.6,62.166666666666664
P05,7,C7_VisualOff_AudioUnpredictable,30.98,30.978,8,6,12,28,2.951428571428571,1.1150000000000002,53.48,1,4,96,26,36,87,81,96,7,Off,Unpredictable,67.0,70.33333333333333
P05,8,C8_VisualPredictable_AudioUnpredictable,43.12,43.116,8,11,22,38,2.8486842105263146,1.125,67.07,2,3,98,31,87,76,92,68,8,Predictable,Unpredictable,75.2,75.33333333333333
P05,9,C9_VisualUnpredictable_AudioUnpredictable,41.37,41.373,8,11,22,38,2.0228947368421055,1.0750000000000002,37.51,2,7,96,26,80,71,87,59,9,Unpredictable,Unpredictable,69.6,69.83333333333333
P06,1,C1_VisualOff_AudioOff,37.98,37.979,8,6,12,28,1.3129629629629629,1.25,2.05,0,3,35,10,70,94,30,20,1,Off,Off,33.0,43.166666666666664
