participant,round_index,condition,condition_group,round_start,round_end,duration_sec,has_round_start,has_round_end,round_complete,card_flips,matches,mismatches,rechecks,thinking_time_events,questionnaire_answers,mean_thinking_time
P04,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,2026-05-28 13:31:21.429,2026-05-28 13:32:03.783,42.354,True,True,True,44,8,14,28,44,6,2.471363636363636
P05,1,C1_No_Distraction,No distraction,2026-05-28 13:43:18.521,2026-05-28 13:44:09.088,50.567,True,True,True,38,8,11,22,37,6,1.236756756756757
P05,2,C2_Visual_Predictable,Visual only,2026-05-28 13:45:15.385,2026-05-28 13:45:49.672,34.287,True,True,True,30,8,7,14,30,6,3.352666666666667
P05,3,C3_Visual_Unpredictable,Visual only,2026-05-28 13:46:45.848,2026-05-28 13:47:37.093,51.245,True,True,True,44,8,14,28,44,6,2.441363636363636
P05,4,C4_Audio_Predictable,Audio only,2026-05-28 13:48:27.459,2026-05-28 13:49:25.555,58.096,True,True,True,50,8,17,34,50,6,2.1688
P05,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,2026-05-28 13:50:06.399,2026-05-28 13:50:51.113,44.714,True,True,True,42,8,13,26,42,6,2.0380952380952384
P05,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,2026-05-28 13:51:26.067,2026-05-28 13:52:35.501,69.434,True,True,True,58,8,21,42,58,6,1.8
P05,7,C7_Audio_Unpredictable,Audio only,2026-05-28 13:53:27.166,2026-05-28 13:53:58.144,30.978,True,True,True,28,8,6,12,28,6,2.951428571428571
P05,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,2026-05-28 13:55:03.281,2026-05-28 13:55:46.397,43.116,True,True,True,38,8,11,22,38,6,2.8486842105263146
P05,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,2026-05-28 13:56:21.913,2026-05-28 13:57:03.286,41.373,True,True,True,38,8,11,22,38,6,2.0228947368421055
P06,1,C1_No_Distraction,No distraction,2026-05-28 14:14:32.917,2026-05-28 14:15:10.896,37.979,True,True,True,28,8,6,12,27,6,1.3129629629629629
P06,2,C2_Visual_Predictable,Visual only,2026-05-28 14:17:21.165,2026-05-28 14:18:18.688,57.523,True,True,True,38,8,11,22,38,6,4.9418421052631585
P06,3,C3_Visual_Unpredictable,Visual only,2026-05-28 14:19:43.486,2026-05-28 14:20:22.393,38.907,True,True,True,32,8,8,16,32,6,3.8649999999999993
P06,4,C4_Audio_Predictable,Audio only,2026-05-28 14:21:24.342,2026-05-28 14:22:17.864,53.522,True,True,True,42,8,13,26,42,6,2.7485714285714287
P06,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,2026-05-28 14:23:09.022,2026-05-28 14:23:49.342,40.32,True,True,True,34,8,9,18,34,6,2.690588235294118
P06,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,2026-05-28 14:24:44.402,2026-05-28 14:25:35.592,51.19,True,True,True,44,8,14,28,44,6,2.4145454545454546
P06,7,C7_Audio_Unpredictable,Audio only,2026-05-28 14:26:21.217,2026-05-28 14:26:57.693,36.476,True,True,True,32,8,8,16,32,6,2.5659375000000004
P06,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,2026-05-28 14:27:55.714,2026-05-28 14:28:33.031,37.317,True,True,True,32,8,8,16,32,6,2.9796875
P06,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,2026-05-28 14:29:31.096,2026-05-28 14:30:10.700,39.604,True,True,True,32,8,8,16,32,6,3.0512499999999996
P07,1,C1_No_Distraction,No distraction,2026-05-28 14:53:35.437,2026-05-28 14:54:46.536,71.099,True,True,True,34,8,9,18,33,6,1.7148484848484848
P07,2,C2_Visual_Predictable,Visual only,2026-05-28 14:56:36.740,2026-05-28 14:57:59.002,82.262,True,True,True,50,8,17,34,50,6,3.8498
P07,3,C3_Visual_Unpredictable,Visual only,2026-05-28 14:59:51.097,2026-05-28 15:00:51.028,59.931,True,True,True,40,8,12,24,40,6,4.29925
P07,4,C4_Audio_Predictable,Audio only,2026-05-28 15:01:54.697,2026-05-28 15:02:36.322,41.625,True,True,True,34,8,9,18,34,6,3.0976470588235294
P07,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,2026-05-28 15:03:36.705,2026-05-28 15:04:18.397,41.692,True,True,True,32,8,8,16,32,6,3.190625
P07,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,2026-05-28 15:05:29.232,2026-05-28 15:06:28.360,59.128,True,True,True,44,8,14,28,44,6,2.953181818181818
P07,7,C7_Audio_Unpredictable,Audio only,2026-05-28 15:07:24.425,2026-05-28 15:08:07.755,43.33,True,True,True,36,8,10,20,36,6,2.761666666666667
P07,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,2026-05-28 15:09:06.967,2026-05-28 15:09:47.603,40.636,True,True,True,34,8,9,18,34,6,2.9373529411764703
P07,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,2026-05-28 15:10:46.378,2026-05-28 15:11:22.149,35.771,True,True,True,30,8,7,14,30,6,3.151666666666667
P08,1,C1_No_Distraction,No distraction,2026-05-28 15:18:55.737,2026-05-28 15:19:44.359,48.622,True,True,True,26,8,5,10,25,6,1.7575999999999998
P08,2,C2_Visual_Predictable,Visual only,2026-05-28 15:20:44.958,2026-05-28 15:21:28.266,43.308,True,True,True,28,8,6,12,28,6,3.7107142857142854
P08,3,C3_Visual_Unpredictable,Visual only,2026-05-28 15:22:13.460,2026-05-28 15:23:02.235,48.775,True,True,True,30,8,7,14,30,6,3.1326666666666667
P08,4,C4_Audio_Predictable,Audio only,2026-05-28 15:23:44.973,2026-05-28 15:24:29.132,44.159,True,True,True,30,8,7,14,30,6,2.8970000000000002
P08,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,2026-05-28 15:25:10.376,2026-05-28 15:26:00.010,49.634,True,True,True,34,8,9,18,34,6,2.6714705882352945
P08,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,2026-05-28 15:26:34.093,2026-05-28 15:27:09.881,35.788,True,True,True,24,8,4,8,24,6,2.9125
P08,7,C7_Audio_Unpredictable,Audio only,2026-05-28 15:27:42.605,2026-05-28 15:28:16.511,33.906,True,True,True,26,8,5,10,26,6,2.5626923076923074
P08,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,2026-05-28 15:28:44.669,2026-05-28 15:29:18.907,34.238,True,True,True,24,8,4,8,24,6,2.5995833333333334
P08,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,2026-05-28 15:29:54.743,2026-05-28 15:30:33.073,38.33,True,True,True,28,8,6,12,28,6,2.6482142857142854
