condition,condition_group,mean_duration_sec,sd_duration_sec,mean_card_flips,sd_card_flips,mean_matches,sd_matches,mean_mismatches,sd_mismatches,mean_rechecks,sd_rechecks,mean_thinking_time,sd_thinking_time,n_participants
C1_No_Distraction,No distraction,55.473625,12.723230215829625,34.5,6.48074069840786,8.0,0.0,9.25,3.24037034920393,18.5,6.48074069840786,1.4394662374646405,0.2025458829922548,8
C2_Visual_Predictable,Visual only,54.32725,15.725433337204326,36.5,8.400680244565232,8.0,0.0,10.25,4.200340122282616,20.5,8.400680244565232,4.121157396094403,0.7456524045256756,8
C3_Visual_Unpredictable,Visual only,48.495,9.560041168470832,36.75,7.629828681843761,8.0,0.0,10.375,3.814914340921881,20.75,7.629828681843762,3.184570008116883,0.6505265198252975,8
C4_Audio_Predictable,Audio only,46.437875,7.374969374028418,38.5,8.332380897952964,8.0,0.0,11.25,4.166190448976481,22.5,8.332380897952962,2.6731456484348124,0.28570787506692596,8
C5_VisualPredictable_AudioPredictable,Combined visual + audio,42.25175,6.981773429028309,35.25,8.137216091163225,8.0,0.0,9.625,4.0686080455816125,19.25,8.137216091163225,2.742740611869748,0.671837526159277,8
C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,46.814875,12.919671705664305,38.25,11.683321445547923,8.0,0.0,11.125,5.841660722773962,22.25,11.683321445547923,2.5188730300496607,0.40765535345057113,8
C7_Audio_Unpredictable,Audio only,41.596125,8.403765778974158,36.0,8.141603913585715,8.0,0.0,10.0,4.0708019567928595,20.0,8.141603913585719,2.4827504521520147,0.3457022513175351,8
C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,39.604375000000005,8.252258512284467,32.5,6.023762469230862,8.0,0.0,8.25,3.011881234615431,16.5,6.023762469230862,2.821290685087294,0.4542058122387928,8
C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,42.25475,7.229070534011568,36.25,6.881652625434012,8.0,0.0,10.125,3.4408263127170073,20.25,6.881652625434015,2.4947652710904937,0.4885241431758314,8
