participant,n_rounds,mean_validity,min_validity,mean_pupil,min_pupil,max_pupil,rounds_with_local_baseline,mean_baseline_validity,included_eye_tracking,inclusion_reason
P01,1,0.27284172661870504,0.27284172661870504,3.1082786687541195,3.1082786687541195,3.1082786687541195,0,,False,"Excluded: incomplete rounds, low tracking validity, or insufficient local baselines"
P02,1,0.9748843357567746,0.9748843357567746,2.864954975084746,2.864954975084746,2.864954975084746,0,,False,"Excluded: incomplete rounds, low tracking validity, or insufficient local baselines"
P03,1,0.9939609786311552,0.9939609786311552,2.755201537077426,2.755201537077426,2.755201537077426,0,,False,"Excluded: incomplete rounds, low tracking validity, or insufficient local baselines"
P04,9,0.9796885382362946,0.9642686993806574,2.8822482691806046,2.839858690151515,2.9307389011417837,9,1.0,True,"Included: complete rounds, high tracking validity, and usable local baselines"
P05,9,0.9861614636852296,0.9723695571728136,3.033190081972622,2.9442286008056593,3.1401927013917317,9,0.9906276106934002,True,"Included: complete rounds, high tracking validity, and usable local baselines"
P06,9,0.9625892511747973,0.9382422802850356,3.2714582829763317,3.194625180542986,3.344117746268657,9,0.9525089605734767,True,"Included: complete rounds, high tracking validity, and usable local baselines"
P08,9,0.9563422653369291,0.9374252008890409,2.931574466565685,2.766280678780878,3.0136522547875253,9,0.992798353909465,True,"Included: complete rounds, high tracking validity, and usable local baselines"
