measure,n_participants,n_conditions,statistic,df,p_value,kendalls_w,status
delta_eda_local,5,9,5.3866666666666845,8,0.7155614114661574,0.1346666666666671,OK
delta_hr_local,5,9,7.200000000000017,8,0.5152161104661466,0.18000000000000044,OK
delta_pupil_local,4,9,14.0,8,0.0817654162447216,0.4375,OK
adjusted_score,8,9,23.265901981230456,8,0.0030391176486719595,0.3635297184567259,OK
