participant,n_answers,n_rounds,mean_score,mean_adjusted_score,min_score,max_score
P01,54,9,33.53703703703704,34.129629629629626,0.0,80.0
P02,54,9,53.888888888888886,58.592592592592595,19.0,84.0
P03,54,9,46.870370370370374,42.7962962962963,13.0,86.0
P04,54,9,50.092592592592595,46.72222222222222,5.0,100.0
P05,54,9,53.333333333333336,47.55555555555556,0.0,98.0
P06,54,9,45.94444444444444,37.870370370370374,10.0,94.0
P07,54,9,35.851851851851855,20.74074074074074,0.0,97.0
P08,54,9,51.01851851851852,46.98148148148148,17.0,77.0
