condition_group,mean_delta_pupil,sd_delta_pupil,mean_tracking_validity,n_observations,n_participants
No distraction,-0.15737783273264416,0.23206775030602836,0.9865417462623848,4,4
Visual only,-0.08284330323253747,0.11530540338023863,0.9761382264536994,8,4
Audio only,0.036210497364156935,0.11615268134841235,0.9736218012072893,8,4
Combined visual + audio,0.05317885304249023,0.09671657160789976,0.9636741537226131,16,4
