condition_group,mean_delta_eda,sd_delta_eda,mean_delta_hr,sd_delta_hr,n_observations,n_participants
No distraction,0.13914586690573022,0.2611725296582258,0.40752757891707175,7.291215403774242,5,5
Visual only,0.11270769266378386,0.20501257154471925,2.8584943199856014,12.593181018395118,10,5
Audio only,0.13413555030717011,0.1454418153474427,-2.043007804777497,13.406976201707845,10,5
Combined visual + audio,0.08058455393891431,0.12352318655232605,1.053682347962703,6.096459782958681,20,5
