condition,condition_group,mean_eda,sd_eda,mean_eda_local_baseline,mean_delta_eda,sd_delta_eda,mean_hr,sd_hr,mean_hr_local_baseline,mean_delta_hr,sd_delta_hr,n_participants
C1_No_Distraction,No distraction,2.3334303626068564,1.3725012933358627,2.1942844957011265,0.13914586690573022,0.2611725296582258,101.40524593898837,11.707001915969837,100.9977183600713,0.40752757891707175,7.291215403774242,5
C2_Visual_Predictable,Visual only,2.836241021602741,1.7722434635649993,2.6656701194320958,0.17057090217064513,0.22955118402183322,101.45464927789297,13.223713400853123,96.92086080586081,4.533788472032171,14.64807948575368,5
C3_Visual_Unpredictable,Visual only,3.0963018180465833,2.124554325164261,3.0414573348896607,0.054844483156922606,0.18304022504271858,100.96001960784314,9.27242614555845,99.7768194399041,1.1832001679390316,11.629303913132102,5
C4_Audio_Predictable,Audio only,3.4339735964919713,2.5242496828742325,3.2425919184649272,0.19138167802704364,0.17971611632005147,95.4337314869338,11.289253261668867,94.1,1.3337314869337944,11.336944813262097,5
C5_VisualPredictable_AudioPredictable,Combined visual + audio,3.828453156336514,2.978848086444471,3.7039011764071565,0.12455197992935747,0.16556664009992206,96.35226117028867,7.937199834684163,98.64157509157509,-2.2893139212864213,5.354243360383899,5
C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,3.9326023424403416,3.267869593749059,3.859450758722093,0.07315158371824833,0.11714568034309683,94.63997718094507,12.509670139078585,95.34121568627451,-0.7012385053294394,5.5909996729348785,5
C7_Audio_Unpredictable,Audio only,4.112509359364841,3.510292637977322,4.035619936777545,0.07688942258729659,0.0842869705443652,97.30350342110955,11.442015374490769,102.72325051759836,-5.419747096488789,15.728907659312952,5
C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,4.244209732050247,3.66487558650076,4.189232914983044,0.05497681706720296,0.1461098077588055,99.18028074866311,13.157876346619261,95.9141363022942,3.2661444463689038,3.5424220744656463,5
C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,4.316748828681667,3.9188022691099844,4.2470909936408185,0.06965783504084844,0.08085467708015452,104.66610706906746,17.51664704265791,100.72696969696969,3.9391373720977696,8.349921399798689,5
