condition,condition_group,mean_pupil,sd_pupil,mean_pupil_local_baseline,mean_delta_pupil,sd_delta_pupil,mean_tracking_validity,sd_tracking_validity,n_participants
C1_No_Distraction,No distraction,2.9686611564549947,0.17669304263475535,3.126038989187639,-0.15737783273264416,0.23206775030602836,0.9865417462623848,0.007738803319746831,4
C2_Visual_Predictable,Visual only,2.986533369984825,0.15185359328189946,3.036283169270913,-0.049749799286087804,0.1456674180700768,0.9812570327573972,0.009019115335439885,4
C3_Visual_Unpredictable,Visual only,3.046336814827233,0.20337095701641103,3.16227362200622,-0.11593680717898713,0.08296369135856918,0.9710194201500015,0.01330205859008531,4
C4_Audio_Predictable,Audio only,3.050190677746181,0.18924276851032035,2.9970799741285896,0.053110703617591626,0.0879339115666809,0.9735801455617042,0.020150831222297556,4
C5_VisualPredictable_AudioPredictable,Combined visual + audio,3.0233021672652765,0.19499753074094384,2.9139331540631246,0.10936901320215153,0.055884859884925156,0.9630271350828292,0.021660347350817576,4
C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,3.061010427185878,0.1639424508464648,3.0002357990405595,0.0607746281453182,0.06476211239809879,0.9641739429469409,0.015283866571522614,4
C7_Audio_Unpredictable,Audio only,3.0433108517559404,0.19459083296416357,3.024000560645218,0.019310291110722244,0.15161141503798573,0.9736634568528741,0.018078110574900167,4
C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,3.0431991946215824,0.200306110438723,3.0851447712588627,-0.04194557663728027,0.10139554224653982,0.962114429439435,0.020355847310940846,4
C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,3.044015316722387,0.14699279331174306,2.9594979692626153,0.08451734745977146,0.10728988936803667,0.965381107421247,0.028240665224922062,4
